,0
0,2
1,3
2,2
3,0
4,3
5,2
6,5
7,3
8,2
9,2
10,4
11,6
12,4
13,5
14,6
15,1
16,6
17,2
18,4
19,6
20,4
21,2
22,4
23,3
24,0
25,3
26,6
27,0
28,5
29,3
30,3
31,2
32,6
33,5
34,2
35,4
36,5
37,4
38,6
39,5
40,5
41,4
42,5
43,2
44,0
45,1
46,3
47,6
48,2
49,0
50,0
51,4
52,6
53,4
54,5
55,3
56,6
57,6
58,3
59,3
60,4
61,4
62,4
63,4
64,3
65,1
66,2
67,5
68,2
69,4
70,3
71,5
72,1
73,3
74,1
75,4
76,1
77,2
78,2
79,3
80,6
81,1
82,5
83,4
84,6
85,5
86,4
87,1
88,6
89,1
90,5
91,5
92,4
93,4
94,4
95,2
96,6
97,2
98,1
99,1
100,5
101,6
102,2
103,4
104,5
105,4
106,3
107,6
108,3
109,2
110,2
111,2
112,2
113,2
114,3
115,5
116,3
117,6
118,0
119,4
120,5
121,6
122,6
123,1
124,2
125,1
126,2
127,2
128,0
129,4
130,0
131,2
132,6
133,4
134,4
135,1
136,4
137,0
138,1
139,3
140,2
141,2
142,2
143,3
144,4
145,3
146,1
147,2
148,3
149,6
150,2
151,3
152,4
153,6
154,6
155,3
156,4
157,3
158,1
159,6
160,1
161,1
162,3
163,5
164,5
165,3
166,6
167,1
168,2
169,6
170,1
171,2
172,4
173,1
174,2
175,4
176,1
177,3
178,6
179,2
180,5
181,2
182,5
183,1
184,5
185,1
186,6
187,2
188,3
189,1
190,3
191,4
192,0
193,6
194,6
195,6
196,6
197,1
198,3
199,0
200,2
201,0
202,4
203,6
204,5
205,3
206,5
207,5
208,2
209,2
210,1
211,1
212,3
213,0
214,1
215,0
216,4
217,5
218,6
219,2
220,4
221,3
222,5
223,3
224,0
225,5
226,0
227,3
228,4
229,2
230,6
231,6
232,2
233,6
234,2
235,2
236,1
237,2
238,4
239,1
240,5
241,5
242,2
243,6
244,0
245,6
246,0
247,6
248,6
249,6
250,2
251,5
252,3
253,5
254,5
255,4
256,5
257,4
258,1
259,4
260,5
261,2
262,2
263,1
264,3
265,2
266,0
267,6
268,2
269,1
270,6
271,2
272,2
273,3
274,6
275,1
276,3
277,6
278,5
279,4
280,6
281,5
282,4
283,4
284,4
285,6
286,2
287,6
288,3
289,2
290,2
291,2
292,2
293,2
294,5
295,6
296,4
297,6
298,1
299,5
300,2
301,6
302,0
303,4
304,6
305,6
306,3
307,2
308,2
309,6
310,4
311,2
312,5
313,2
314,0
315,0
316,3
317,1
318,0
319,6
320,5
321,4
322,1
323,6
324,2
325,2
326,3
327,3
328,4
329,5
330,0
331,2
332,4
333,1
334,6
335,1
336,6
337,2
338,4
339,3
340,3
341,5
342,4
343,2
344,3
345,1
346,4
347,1
348,4
349,1
350,1
351,4
352,4
353,4
354,6
355,2
356,5
357,2
358,1
359,5
360,2
361,0
362,2
363,1
364,4
365,1
366,1
367,2
368,3
369,5
370,0
371,2
372,6
373,2
374,6
375,3
376,6
377,6
378,4
379,4
380,4
381,1
382,2
383,6
384,2
385,0
386,0
387,3
388,5
389,4
390,3
391,2
392,2
393,4
394,4
395,3
396,5
397,2
398,6
399,5
400,2
401,2
402,3
403,4
404,5
405,2
406,4
407,6
408,0
409,2
410,5
411,3
412,5
413,1
414,5
415,2
416,5
417,2
418,5
419,3
420,5
421,5
422,4
423,6
424,6
425,6
426,6
427,3
428,4
429,1
430,6
431,1
432,2
433,1
434,5
435,3
436,5
437,6
438,6
439,0
440,0
441,1
442,5
443,3
444,6
445,2
446,3
447,3
448,3
449,0
450,3
451,3
452,1
453,1
454,0
455,1
456,5
457,2
458,2
459,3
460,5
461,2
462,3
463,3
464,2
465,6
466,1
467,5
468,2
469,0
470,0
471,2
472,3
473,5
474,5
475,4
476,4
477,2
478,0
479,2
480,5
481,3
482,2
483,6
484,6
485,2
486,4
487,6
488,2
489,5
490,4
491,2
492,2
493,3
494,0
495,2
496,6
497,4
498,6
499,6
500,6
501,0
502,5
503,2
504,2
505,2
506,0
507,0
508,0
509,1
510,1
511,1
512,6
513,3
514,6
515,2
516,1
517,2
518,6
519,2
520,2
521,1
522,1
523,2
524,6
525,1
526,6
527,6
528,6
529,0
530,1
531,1
532,1
533,5
534,5
535,6
536,0
537,5
538,6
539,3
540,1
541,4
542,6
543,3
544,4
545,0
546,1
547,5
548,0
549,5
550,6
551,5
552,1
553,6
554,1
555,2
556,6
557,5
558,2
559,5
560,1
561,2
562,6
563,5
564,0
565,5
566,2
567,4
568,0
569,3
570,4
571,2
572,6
573,6
574,1
575,1
576,3
577,5
578,6
579,2
580,2
581,5
582,3
583,3
